,Category: All categories
Week,sun: (Greece)
2016-10-30,29
2016-11-06,38
2016-11-13,40
2016-11-20,54
2016-11-27,35
2016-12-04,42
2016-12-11,55
2016-12-18,40
2016-12-25,42
2017-01-01,44
2017-01-08,34
2017-01-15,39
2017-01-22,32
2017-01-29,41
2017-02-05,30
2017-02-12,40
2017-02-19,40
2017-02-26,44
2017-03-05,27
2017-03-12,38
2017-03-19,53
2017-03-26,49
2017-04-02,49
2017-04-09,50
2017-04-16,41
2017-04-23,37
2017-04-30,47
2017-05-07,56
2017-05-14,76
2017-05-21,54
2017-05-28,64
2017-06-04,73
2017-06-11,61
2017-06-18,79
2017-06-25,73
2017-07-02,68
2017-07-09,70
2017-07-16,69
2017-07-23,74
2017-07-30,80
2017-08-06,74
2017-08-13,68
2017-08-20,72
2017-08-27,55
2017-09-03,41
2017-09-10,48
2017-09-17,50
2017-09-24,36
2017-10-01,37
2017-10-08,36
2017-10-15,40
2017-10-22,29
2017-10-29,32
2017-11-05,35
2017-11-12,40
2017-11-19,33
2017-11-26,34
2017-12-03,30
2017-12-10,34
2017-12-17,20
2017-12-24,27
2017-12-31,28
2018-01-07,36
2018-01-14,31
2018-01-21,35
2018-01-28,27
2018-02-04,39
2018-02-11,41
2018-02-18,46
2018-02-25,32
2018-03-04,44
2018-03-11,40
2018-03-18,34
2018-03-25,46
2018-04-01,39
2018-04-08,66
2018-04-15,54
2018-04-22,60
2018-04-29,63
2018-05-06,57
2018-05-13,56
2018-05-20,66
2018-05-27,74
2018-06-03,97
2018-06-10,71
2018-06-17,70
2018-06-24,66
2018-07-01,87
2018-07-08,88
2018-07-15,86
2018-07-22,88
2018-07-29,81
2018-08-05,74
2018-08-12,80
2018-08-19,72
2018-08-26,61
2018-09-02,62
2018-09-09,49
2018-09-16,50
2018-09-23,34
2018-09-30,40
2018-10-07,51
2018-10-14,44
2018-10-21,27
2018-10-28,32
2018-11-04,31
2018-11-11,23
2018-11-18,28
2018-11-25,26
2018-12-02,29
2018-12-09,30
2018-12-16,25
2018-12-23,39
2018-12-30,35
2019-01-06,30
2019-01-13,32
2019-01-20,28
2019-01-27,30
2019-02-03,29
2019-02-10,26
2019-02-17,36
2019-02-24,33
2019-03-03,43
2019-03-10,33
2019-03-17,37
2019-03-24,40
2019-03-31,40
2019-04-07,41
2019-04-14,51
2019-04-21,45
2019-04-28,45
2019-05-05,42
2019-05-12,55
2019-05-19,68
2019-05-26,70
2019-06-02,81
2019-06-09,86
2019-06-16,80
2019-06-23,73
2019-06-30,81
2019-07-07,60
2019-07-14,69
2019-07-21,100
2019-07-28,81
2019-08-04,92
2019-08-11,89
2019-08-18,74
2019-08-25,55
2019-09-01,61
2019-09-08,46
2019-09-15,51
2019-09-22,41
2019-09-29,40
2019-10-06,35
2019-10-13,37
2019-10-20,35
2019-10-27,48
2019-11-03,25
2019-11-10,26
2019-11-17,28
2019-11-24,24
2019-12-01,24
2019-12-08,26
2019-12-15,25
2019-12-22,29
2019-12-29,18
2020-01-05,36
2020-01-12,36
2020-01-19,23
2020-01-26,23
2020-02-02,26
2020-02-09,31
2020-02-16,36
2020-02-23,29
2020-03-01,24
2020-03-08,26
2020-03-15,25
2020-03-22,29
2020-03-29,34
2020-04-05,35
2020-04-12,36
2020-04-19,47
2020-04-26,34
2020-05-03,50
2020-05-10,47
2020-05-17,53
2020-05-24,48
2020-05-31,40
2020-06-07,59
2020-06-14,44
2020-06-21,57
2020-06-28,47
2020-07-05,47
2020-07-12,50
2020-07-19,60
2020-07-26,67
2020-08-02,63
2020-08-09,55
2020-08-16,78
2020-08-23,66
2020-08-30,39
2020-09-06,55
2020-09-13,41
2020-09-20,35
2020-09-27,33
2020-10-04,40
2020-10-11,24
2020-10-18,30
2020-10-25,27
2020-11-01,18
2020-11-08,28
2020-11-15,22
2020-11-22,24
2020-11-29,23
2020-12-06,24
2020-12-13,26
2020-12-20,27
2020-12-27,27
2021-01-03,31
2021-01-10,28
2021-01-17,31
2021-01-24,20
2021-01-31,31
2021-02-07,22
2021-02-14,34
2021-02-21,34
2021-02-28,32
2021-03-07,34
2021-03-14,26
2021-03-21,32
2021-03-28,28
2021-04-04,39
2021-04-11,31
2021-04-18,37
2021-04-25,41
2021-05-02,47
2021-05-09,47
2021-05-16,52
2021-05-23,49
2021-05-30,49
2021-06-06,48
2021-06-13,59
2021-06-20,67
2021-06-27,68
2021-07-04,68
2021-07-11,78
2021-07-18,52
2021-07-25,80
2021-08-01,66
2021-08-08,77
2021-08-15,72
2021-08-22,52
2021-08-29,42
2021-09-05,32
2021-09-12,47
2021-09-19,42
2021-09-26,49
2021-10-03,41
2021-10-10,25
2021-10-17,31
2021-10-24,21
