,Category: All categories
Week,taxi: (Greece)
2016-10-30,41
2016-11-06,22
2016-11-13,31
2016-11-20,28
2016-11-27,19
2016-12-04,37
2016-12-11,29
2016-12-18,37
2016-12-25,35
2017-01-01,42
2017-01-08,40
2017-01-15,43
2017-01-22,36
2017-01-29,37
2017-02-05,43
2017-02-12,30
2017-02-19,53
2017-02-26,21
2017-03-05,33
2017-03-12,39
2017-03-19,33
2017-03-26,39
2017-04-02,40
2017-04-09,28
2017-04-16,33
2017-04-23,39
2017-04-30,31
2017-05-07,36
2017-05-14,43
2017-05-21,49
2017-05-28,72
2017-06-04,58
2017-06-11,61
2017-06-18,39
2017-06-25,50
2017-07-02,54
2017-07-09,65
2017-07-16,55
2017-07-23,68
2017-07-30,64
2017-08-06,77
2017-08-13,77
2017-08-20,73
2017-08-27,58
2017-09-03,63
2017-09-10,52
2017-09-17,60
2017-09-24,62
2017-10-01,90
2017-10-08,56
2017-10-15,51
2017-10-22,47
2017-10-29,41
2017-11-05,30
2017-11-12,39
2017-11-19,37
2017-11-26,41
2017-12-03,35
2017-12-10,33
2017-12-17,34
2017-12-24,44
2017-12-31,48
2018-01-07,37
2018-01-14,40
2018-01-21,33
2018-01-28,44
2018-02-04,37
2018-02-11,26
2018-02-18,37
2018-02-25,33
2018-03-04,40
2018-03-11,35
2018-03-18,40
2018-03-25,31
2018-04-01,40
2018-04-08,54
2018-04-15,35
2018-04-22,33
2018-04-29,41
2018-05-06,56
2018-05-13,45
2018-05-20,45
2018-05-27,57
2018-06-03,68
2018-06-10,70
2018-06-17,74
2018-06-24,60
2018-07-01,67
2018-07-08,75
2018-07-15,68
2018-07-22,82
2018-07-29,85
2018-08-05,80
2018-08-12,90
2018-08-19,79
2018-08-26,74
2018-09-02,73
2018-09-09,74
2018-09-16,50
2018-09-23,60
2018-09-30,48
2018-10-07,45
2018-10-14,51
2018-10-21,46
2018-10-28,52
2018-11-04,47
2018-11-11,33
2018-11-18,37
2018-11-25,28
2018-12-02,31
2018-12-09,36
2018-12-16,35
2018-12-23,40
2018-12-30,47
2019-01-06,25
2019-01-13,33
2019-01-20,30
2019-01-27,31
2019-02-03,24
2019-02-10,31
2019-02-17,24
2019-02-24,33
2019-03-03,30
2019-03-10,29
2019-03-17,37
2019-03-24,27
2019-03-31,36
2019-04-07,38
2019-04-14,44
2019-04-21,50
2019-04-28,59
2019-05-05,54
2019-05-12,43
2019-05-19,48
2019-05-26,62
2019-06-02,58
2019-06-09,69
2019-06-16,74
2019-06-23,90
2019-06-30,80
2019-07-07,86
2019-07-14,78
2019-07-21,65
2019-07-28,81
2019-08-04,70
2019-08-11,89
2019-08-18,94
2019-08-25,89
2019-09-01,82
2019-09-08,77
2019-09-15,67
2019-09-22,49
2019-09-29,60
2019-10-06,60
2019-10-13,44
2019-10-20,48
2019-10-27,41
2019-11-03,45
2019-11-10,40
2019-11-17,30
2019-11-24,31
2019-12-01,29
2019-12-08,30
2019-12-15,45
2019-12-22,43
2019-12-29,41
2020-01-05,31
2020-01-12,32
2020-01-19,33
2020-01-26,30
2020-02-02,35
2020-02-09,41
2020-02-16,36
2020-02-23,36
2020-03-01,24
2020-03-08,28
2020-03-15,32
2020-03-22,21
2020-03-29,22
2020-04-05,27
2020-04-12,19
2020-04-19,15
2020-04-26,21
2020-05-03,23
2020-05-10,26
2020-05-17,19
2020-05-24,28
2020-05-31,24
2020-06-07,24
2020-06-14,25
2020-06-21,36
2020-06-28,35
2020-07-05,30
2020-07-12,40
2020-07-19,41
2020-07-26,50
2020-08-02,50
2020-08-09,53
2020-08-16,43
2020-08-23,52
2020-08-30,36
2020-09-06,33
2020-09-13,46
2020-09-20,39
2020-09-27,27
2020-10-04,35
2020-10-11,22
2020-10-18,29
2020-10-25,24
2020-11-01,32
2020-11-08,20
2020-11-15,27
2020-11-22,14
2020-11-29,22
2020-12-06,22
2020-12-13,21
2020-12-20,20
2020-12-27,17
2021-01-03,19
2021-01-10,23
2021-01-17,26
2021-01-24,23
2021-01-31,20
2021-02-07,22
2021-02-14,18
2021-02-21,14
2021-02-28,17
2021-03-07,16
2021-03-14,21
2021-03-21,17
2021-03-28,16
2021-04-04,14
2021-04-11,17
2021-04-18,27
2021-04-25,29
2021-05-02,19
2021-05-09,37
2021-05-16,28
2021-05-23,36
2021-05-30,33
2021-06-06,47
2021-06-13,45
2021-06-20,53
2021-06-27,57
2021-07-04,55
2021-07-11,89
2021-07-18,73
2021-07-25,86
2021-08-01,86
2021-08-08,100
2021-08-15,85
2021-08-22,85
2021-08-29,65
2021-09-05,78
2021-09-12,66
2021-09-19,63
2021-09-26,63
2021-10-03,55
2021-10-10,68
2021-10-17,56
2021-10-24,38
